Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Thomas Robinson,25-294,F,1/5/17,LAL,POR,0,15,3,5,0.6,3,5,0.6,0,0,,0,0,,3,2,5,2,2,0,0,2,6,9
Aron Baynes,30-037,C,1/15/17,DET,LAL,0,16,3,4,0.75,3,4,0.75,0,0,,0,0,,1,3,4,0,0,1,0,4,6,5.1
Trevor Booker,29-123,F,3/28/17,BRK,PHI,0,23,2,5,0.4,2,5,0.4,0,0,,2,2,1,2,5,7,0,0,0,2,3,6,3
Rodney Stuckey,30-327,G,3/14/17,IND,NYK,0,16,1,6,0.167,0,3,0,1,3,0.333,3,6,0.5,0,1,1,3,0,0,1,1,6,2
Mirza Teletovic,31-136,F,2/1/17,MIL,UTA,0,8,3,4,0.75,3,3,1,0,1,0,0,1,0,0,2,2,0,0,0,1,2,6,2.8
C.J. Miles,29-344,G-F,3/28/17,IND,MIN,0,20,2,6,0.333,2,4,0.5,0,2,0,2,3,0.667,0,1,1,1,1,0,2,2,6,1.4
Austin Rivers,24-222,G,3/11/17,LAC,PHI,0,19,2,8,0.25,2,5,0.4,0,3,0,2,4,0.5,0,2,2,3,2,0,3,2,6,1.3
Tony Allen,35-007,G-F,1/18/17,MEM,WAS,1,30,2,7,0.286,2,7,0.286,0,0,,2,4,0.5,5,2,7,1,2,0,2,6,6,3.5
Marvin Williams,30-138,F,11/4/16,CHO,BRK,1,30,2,13,0.154,0,5,0,2,8,0.25,0,0,,2,2,4,4,0,0,0,0,6,2.5
Isaiah Whitehead,21-313,G,1/15/17,BRK,HOU,0,15,2,6,0.333,1,3,0.333,1,3,0.333,1,2,0.5,0,3,3,4,0,0,1,2,6,4.1
Shaun Livingston,31-198,G,3/28/17,GSW,HOU,0,17,2,2,1,2,2,1,0,0,,2,2,1,1,5,6,4,1,1,2,5,6,8.1
Stanley Johnson,20-164,F,11/9/16,DET,PHO,0,6,2,3,0.667,2,3,0.667,0,0,,2,2,1,0,0,0,0,0,0,1,0,6,3.7
Ivica Zubac,19-229,C,11/2/16,LAL,ATL,1,19,3,4,0.75,3,4,0.75,0,0,,0,0,,2,2,4,0,1,0,0,4,6,5.8
Alex Abrines,23-253,G-F,4/11/17,OKC,MIN,0,15,2,3,0.667,0,1,0,2,2,1,0,0,,0,0,0,0,1,1,1,0,6,5.4
Marreese Speights,29-168,C-F,1/19/17,LAC,MIN,0,18,2,9,0.222,1,4,0.25,1,5,0.2,1,2,0.5,1,3,4,2,1,2,2,1,6,3.1
Bobby Portis,21-284,F,11/20/16,CHI,LAL,0,11,3,5,0.6,3,4,0.75,0,1,0,0,0,,1,1,2,0,0,0,0,2,6,3.9
Andre Iguodala,32-356,G-F,1/18/17,GSW,OKC,0,25,3,4,0.75,3,4,0.75,0,0,,0,0,,1,1,2,5,4,0,2,1,6,10.5
Jonas Jerebko,29-303,F,12/30/16,BOS,MIA,0,23,2,4,0.5,0,1,0,2,3,0.667,0,1,0,1,2,3,5,0,1,1,1,6,7.7
Treveon Graham,23-030,G,11/28/16,CHO,MEM,0,4,2,2,1,0,0,,2,2,1,0,0,,0,0,0,0,0,0,1,1,6,4
Raul Neto,24-215,G,12/20/16,UTA,GSW,0,13,3,7,0.429,3,4,0.75,0,3,0,0,0,,0,1,1,2,2,0,0,1,6,5.6
Troy Daniels,25-131,G,11/23/16,MEM,PHI,1,23,2,7,0.286,0,2,0,2,5,0.4,0,0,,0,4,4,1,1,0,0,0,6,4.8
Salah Mejri,30-296,C,4/7/17,DAL,SAS,0,8,3,6,0.5,3,6,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,6,2.9
Markieff Morris,27-061,F,11/2/16,WAS,TOR,1,36,2,7,0.286,1,5,0.2,1,2,0.5,1,2,0.5,0,3,3,2,1,0,2,3,6,1.6
Joe Young,24-123,G,10/28/16,IND,BRK,0,13,2,6,0.333,1,5,0.2,1,1,1,1,2,0.5,0,2,2,1,0,0,0,2,6,2.7
Cory Joseph,25-128,G,12/26/16,TOR,POR,0,23,2,11,0.182,2,10,0.2,0,1,0,2,2,1,0,2,2,1,1,0,0,1,6,1
Rodney McGruder,25-211,G,2/25/17,MIA,IND,1,18,2,4,0.5,0,1,0,2,3,0.667,0,0,,0,1,1,0,0,1,0,2,6,4.2
Larry Nance Jr.,23-345,F,12/11/16,LAL,NYK,0,20,3,5,0.6,3,5,0.6,0,0,,0,0,,2,0,2,3,1,0,1,2,6,6.4
Jeremy Lamb,24-187,G-F,12/3/16,CHO,MIN,0,12,2,5,0.4,0,2,0,2,3,0.667,0,0,,0,5,5,0,0,0,2,0,6,2.8
Robin Lopez,28-278,C,1/4/17,CHI,CLE,1,23,3,5,0.6,3,5,0.6,0,0,,0,0,,3,2,5,1,0,1,2,3,6,4.6
Gerald Green,30-297,G-F,11/18/16,BOS,GSW,0,17,2,11,0.182,0,6,0,2,5,0.4,0,0,,0,6,6,0,0,0,0,1,6,0.5
Shaun Livingston,31-119,G,1/8/17,GSW,SAC,0,19,3,4,0.75,3,4,0.75,0,0,,0,0,,0,2,2,0,1,0,1,0,6,5
D.J. Augustin,29-132,G,3/22/17,ORL,CHO,0,15,2,5,0.4,1,2,0.5,1,3,0.333,1,1,1,0,1,1,2,0,0,1,1,6,3.6
Evan Turner,28-163,G,4/8/17,POR,UTA,0,24,3,7,0.429,3,5,0.6,0,2,0,0,0,,1,5,6,2,1,1,1,3,6,5.4
E'Twaun Moore,27-289,G,12/13/16,NOP,GSW,0,25,2,6,0.333,2,3,0.667,0,3,0,2,2,1,1,1,2,5,0,0,1,2,6,5.3
Michael Kidd-Gilchrist,23-050,F,11/15/16,CHO,MIN,1,33,2,5,0.4,2,5,0.4,0,0,,2,4,0.5,0,6,6,0,0,1,2,1,6,2.6
Tony Snell,24-354,G-F,10/29/16,MIL,BRK,1,21,3,7,0.429,3,4,0.75,0,3,0,0,0,,1,1,2,0,0,0,1,4,6,0.7
Robin Lopez,28-258,C,12/15/16,CHI,MIL,1,25,3,6,0.5,3,6,0.5,0,0,,0,0,,1,5,6,2,0,1,0,2,6,6.5
P.J. Tucker,31-279,F,2/8/17,PHO,MEM,0,30,2,9,0.222,2,7,0.286,0,2,0,2,2,1,7,3,10,0,2,0,1,1,6,6.9
Meyers Leonard,25-012,C-F,3/11/17,POR,WAS,0,25,3,4,0.75,3,4,0.75,0,0,,0,0,,0,6,6,3,2,0,1,2,6,8.5
Jerian Grant,24-071,G,12/19/16,CHI,DET,0,15,3,5,0.6,3,5,0.6,0,0,,0,0,,0,0,0,1,0,1,2,2,6,2.3
Jonathon Simmons,27-099,G-F,12/22/16,SAS,LAC,0,22,2,10,0.2,1,8,0.125,1,2,0.5,1,2,0.5,1,3,4,1,0,1,3,5,6,-2.6
Elfrid Payton,22-257,G,11/5/16,ORL,WAS,1,29,2,8,0.25,1,5,0.2,1,3,0.333,1,2,0.5,1,0,1,3,0,0,2,2,6,0.8
Kelly Oubre,21-036,F,1/14/17,WAS,PHI,0,27,3,6,0.5,3,4,0.75,0,2,0,0,0,,0,2,2,0,2,0,0,1,6,5.2
Channing Frye,33-301,C-F,3/14/17,CLE,DET,0,20,2,4,0.5,0,1,0,2,3,0.667,0,0,,0,3,3,1,0,1,0,2,6,5.5
Mike Dunleavy,36-127,F-G,1/20/17,ATL,CHI,0,15,2,5,0.4,0,1,0,2,4,0.5,0,0,,0,0,0,1,1,0,0,1,6,4.6
Al Horford,30-209,C-F,12/29/16,BOS,CLE,1,29,3,9,0.333,3,7,0.429,0,2,0,0,0,,0,1,1,4,0,3,2,2,6,3.3
Isaiah Canaan,25-263,G,2/8/17,CHI,GSW,0,23,2,4,0.5,2,3,0.667,0,1,0,2,2,1,0,2,2,2,0,0,0,1,6,5.6
Rodney McGruder,25-113,G,11/19/16,MIA,WAS,0,19,2,5,0.4,2,4,0.5,0,1,0,2,3,0.667,1,3,4,0,0,0,2,4,6,0.9
Shaun Livingston,31-090,G,12/10/16,GSW,MEM,0,18,3,4,0.75,3,4,0.75,0,0,,0,1,0,0,0,0,1,0,1,3,2,6,1.6
Brandon Jennings,27-140,G,2/10/17,NYK,DEN,1,39,2,10,0.2,0,4,0,2,6,0.333,0,0,,1,1,2,13,1,0,0,1,6,10.5
Sean Kilpatrick,26-339,G,12/10/16,BRK,SAS,1,24,2,7,0.286,2,5,0.4,0,2,0,2,2,1,1,0,1,1,0,0,1,1,6,1.9
Shabazz Muhammad,24-139,F-G,4/1/17,MIN,SAC,0,16,2,6,0.333,2,6,0.333,0,0,,2,2,1,1,1,2,0,0,0,1,2,6,1.8
James Michael McAdoo,24-071,F,3/16/17,GSW,ORL,0,8,3,3,1,3,3,1,0,0,,0,4,0,0,1,1,0,1,2,0,0,6,6.2
Kosta Koufos,27-350,C,2/8/17,SAC,BOS,1,27,3,8,0.375,3,8,0.375,0,0,,0,0,,3,8,11,3,1,0,1,2,6,7.4
Brandon Ingram,19-121,F,1/1/17,LAL,TOR,0,26,2,7,0.286,2,4,0.5,0,3,0,2,2,1,1,2,3,2,0,0,0,2,6,3.8
Dante Cunningham,29-320,F,3/8/17,NOP,TOR,0,26,3,7,0.429,3,5,0.6,0,2,0,0,0,,1,4,5,1,2,0,0,2,6,6.1
Trey Burke,24-072,G,1/23/17,WAS,CHO,0,12,3,3,1,3,3,1,0,0,,0,0,,0,1,1,4,0,0,0,1,6,7.8
Rodney Stuckey,30-296,G,2/11/17,IND,MIL,0,16,1,4,0.25,0,2,0,1,2,0.5,3,3,1,0,1,1,1,0,0,0,3,6,3.4
Boris Diaw,34-273,F-C,1/14/17,UTA,ORL,0,14,2,8,0.25,2,5,0.4,0,3,0,2,3,0.667,1,0,1,2,0,0,1,1,6,1.5
Gary Payton,24-124,G,4/4/17,MIL,OKC,0,30,2,8,0.25,2,6,0.333,0,2,0,2,3,0.667,0,2,2,3,2,1,2,1,6,3.8
Shaun Livingston,31-051,G,11/1/16,GSW,POR,0,18,2,3,0.667,2,3,0.667,0,0,,2,2,1,0,1,1,5,2,0,3,2,6,6.7
C.J. Miles,29-277,G-F,1/20/17,IND,LAL,0,14,2,5,0.4,0,2,0,2,3,0.667,0,1,0,0,1,1,0,0,1,0,2,6,3.1
Maurice Ndour,24-180,F,12/15/16,NYK,GSW,0,6,2,4,0.5,2,4,0.5,0,0,,2,2,1,1,0,1,0,1,0,0,0,6,5.7
Mike Dunleavy,36-051,F-G,11/5/16,CLE,PHI,0,13,2,5,0.4,0,1,0,2,4,0.5,0,0,,1,0,1,0,0,0,2,2,6,1.2
Salah Mejri,30-301,C,4/12/17,DAL,MEM,0,12,2,2,1,1,1,1,1,1,1,1,2,0.5,1,1,2,0,0,0,0,3,6,4.8
Alex Len,23-233,C,2/4/17,PHO,MIL,0,11,3,5,0.6,3,5,0.6,0,0,,0,0,,1,0,1,0,0,0,0,3,6,3.2
Malcolm Delaney,27-269,G,12/5/16,ATL,OKC,0,14,2,5,0.4,2,5,0.4,0,0,,2,2,1,0,0,0,2,0,0,2,2,6,1.9
Andrew Bogut,31-337,C,10/30/16,DAL,HOU,1,28,3,7,0.429,3,7,0.429,0,0,,0,2,0,5,10,15,3,0,0,2,3,6,6.9
Darrell Arthur,28-348,F,3/8/17,DEN,WAS,0,28,2,4,0.5,0,1,0,2,3,0.667,0,1,0,0,5,5,1,0,1,2,3,6,3.3
Lucas Nogueira,24-182,C,1/24/17,TOR,SAS,0,26,3,6,0.5,3,6,0.5,0,0,,0,0,,4,6,10,1,1,2,0,3,6,9.5
Tyus Jones,20-199,G,11/25/16,MIN,PHO,0,19,3,6,0.5,3,6,0.5,0,0,,0,0,,0,2,2,3,2,0,0,0,6,7.7
Shaun Livingston,31-060,G,11/10/16,GSW,DEN,0,18,3,4,0.75,3,4,0.75,0,0,,0,0,,0,2,2,0,1,0,1,3,6,3.8
Kosta Koufos,27-315,C,1/4/17,SAC,MIA,1,15,2,2,1,2,2,1,0,0,,2,2,1,1,3,4,2,1,1,1,1,6,8.7
JaMychal Green,26-133,F,11/1/16,MEM,MIN,1,27,2,8,0.25,1,5,0.2,1,3,0.333,1,2,0.5,0,2,2,1,1,1,2,2,6,1
John Henson,26-083,C-F,3/21/17,MIL,POR,0,20,3,6,0.5,3,6,0.5,0,0,,0,0,,5,3,8,0,1,3,3,4,6,5.9
Andre Roberson,25-115,G-F,3/29/17,OKC,ORL,1,35,3,7,0.429,3,5,0.6,0,2,0,0,0,,3,6,9,3,1,2,0,5,6,8.7
Jamal Murray,19-289,G,12/8/16,DEN,WAS,0,17,2,5,0.4,0,1,0,2,4,0.5,0,0,,1,1,2,2,1,0,5,2,6,0.9
Mike Dunleavy,36-120,F-G,1/13/17,ATL,BOS,0,15,2,3,0.667,0,0,,2,3,0.667,0,0,,0,5,5,1,0,0,0,1,6,6.5
Iman Shumpert,26-124,G,10/28/16,CLE,TOR,0,20,1,4,0.25,0,3,0,1,1,1,3,4,0.75,0,4,4,2,3,0,2,2,6,6
Norman Powell,23-203,G,12/14/16,TOR,PHI,0,21,2,5,0.4,2,3,0.667,0,2,0,2,3,0.667,0,0,0,0,2,2,0,3,6,5.1
Meyers Leonard,25-013,C-F,3/12/17,POR,PHO,0,14,3,5,0.6,3,3,1,0,2,0,0,0,,0,2,2,0,0,1,0,3,6,3.8
Domantas Sabonis,20-238,F,12/27/16,OKC,MIA,1,26,3,6,0.5,3,4,0.75,0,2,0,0,0,,2,3,5,0,1,0,0,1,6,5.9
David West,36-140,F,1/16/17,GSW,CLE,0,15,3,4,0.75,3,4,0.75,0,0,,0,0,,0,2,2,3,1,0,1,2,6,6.3
Denzel Valentine,23-030,G,12/16/16,CHI,MIL,0,22,2,7,0.286,2,5,0.4,0,2,0,2,2,1,0,4,4,2,1,0,0,1,6,5.1
Allen Crabbe,24-211,G-F,11/6/16,POR,MEM,0,27,2,4,0.5,0,2,0,2,2,1,0,0,,0,3,3,0,0,0,1,3,6,2.7
Tim Frazier,26-028,G,11/29/16,NOP,LAL,1,32,3,7,0.429,3,5,0.6,0,2,0,0,0,,0,1,1,5,0,0,1,3,6,3.9
Rondae Hollis-Jefferson,22-070,F,3/14/17,BRK,OKC,1,26,1,2,0.5,1,2,0.5,0,0,,4,4,1,2,2,4,1,1,2,1,3,6,7.9
Georgios Papagiannis,19-283,C,4/12/17,SAC,LAC,0,28,3,6,0.5,3,5,0.6,0,1,0,0,0,,1,0,1,3,0,0,3,3,6,1.6
Georgios Papagiannis,19-259,C,3/19/17,SAC,SAS,0,24,2,7,0.286,2,7,0.286,0,0,,2,2,1,4,6,10,0,1,1,1,5,6,5.2
Isaiah Whitehead,22-033,G,4/10/17,BRK,BOS,0,26,3,8,0.375,3,6,0.5,0,2,0,0,2,0,0,1,1,4,1,0,1,1,6,3.5
Jakob Poeltl,21-034,C,11/18/16,TOR,DEN,0,16,2,2,1,2,2,1,0,0,,2,3,0.667,2,4,6,0,2,0,0,2,6,8.8
Shabazz Muhammad,24-040,F-G,12/23/16,MIN,SAC,0,17,1,1,1,0,0,,1,1,1,3,4,0.75,0,1,1,0,0,0,1,2,6,3.8
John Henson,26-013,C-F,1/10/17,MIL,SAS,1,17,3,6,0.5,3,6,0.5,0,0,,0,0,,2,4,6,3,0,0,1,0,6,6.7
Justin Anderson,23-041,G,12/30/16,DAL,GSW,0,15,3,11,0.273,3,7,0.429,0,4,0,0,0,,2,2,4,1,2,2,0,3,6,4.4
Serge Ibaka,27-057,F-C,11/14/16,ORL,IND,1,28,3,13,0.231,3,9,0.333,0,4,0,0,0,,3,10,13,2,0,0,2,1,6,2.2
Patrick McCaw,21-019,G,11/13/16,GSW,PHO,0,18,2,4,0.5,0,1,0,2,3,0.667,0,0,,1,1,2,0,1,2,0,1,6,7
Isaiah Whitehead,21-266,G,11/29/16,BRK,LAC,1,46,2,8,0.25,1,5,0.2,1,3,0.333,1,3,0.333,0,3,3,4,0,0,0,5,6,2.1
Jonathon Simmons,27-173,G-F,3/6/17,SAS,HOU,0,14,3,4,0.75,3,3,1,0,1,0,0,0,,1,1,2,0,0,1,1,1,6,4.7
J.J. Redick,32-245,G,2/24/17,LAC,SAS,1,32,2,9,0.222,0,1,0,2,8,0.25,0,0,,0,2,2,2,1,0,0,1,6,3.1
Jonathon Simmons,27-178,G-F,3/11/17,SAS,GSW,0,27,3,6,0.5,3,6,0.5,0,0,,0,0,,0,3,3,2,1,0,2,2,6,3.5
Mindaugas Kuzminskas,27-143,F,3/11/17,NYK,DET,0,7,2,4,0.5,2,4,0.5,0,0,,2,2,1,0,1,1,0,0,0,1,2,6,2.5
Vince Carter,39-305,G-F,11/26/16,MEM,MIA,0,16,2,8,0.25,2,3,0.667,0,5,0,2,2,1,0,4,4,4,0,0,0,1,6,4.8
Emmanuel Mudiay,21-031,G,4/5/17,DEN,HOU,0,16,1,5,0.2,1,2,0.5,0,3,0,4,4,1,2,4,6,3,1,0,2,2,6,5.8
Derrick Favors,25-112,F-C,11/4/16,UTA,SAS,1,27,3,13,0.231,3,13,0.231,0,0,,0,0,,2,5,7,0,2,1,1,1,6,2.3
Derrick Jones,20-034,F,3/21/17,PHO,MIA,0,18,2,4,0.5,2,4,0.5,0,0,,2,2,1,0,1,1,0,0,0,0,3,6,3.1
Vince Carter,40-031,G-F,2/26/17,MEM,DEN,0,26,2,6,0.333,2,3,0.667,0,3,0,2,2,1,0,2,2,2,1,0,2,2,6,2.8
Joe Ingles,29-113,F-G,1/23/17,UTA,OKC,1,22,3,5,0.6,3,5,0.6,0,0,,0,0,,0,2,2,2,3,0,2,2,6,5.9
Kris Dunn,22-259,G,12/2/16,MIN,NYK,0,18,2,3,0.667,2,3,0.667,0,0,,2,2,1,0,1,1,5,1,0,1,3,6,7.3
Kosta Koufos,27-341,C,1/30/17,SAC,PHI,1,17,3,4,0.75,3,4,0.75,0,0,,0,0,,0,0,0,0,0,1,0,2,6,4.3
Edy Tavares,25-021,C,4/12/17,CLE,TOR,0,24,3,4,0.75,3,4,0.75,0,0,,0,1,0,4,6,10,1,0,6,2,3,6,10.3
Troy Daniels,25-159,G,12/21/16,MEM,DET,0,17,2,9,0.222,0,1,0,2,8,0.25,0,0,,0,1,1,0,1,0,0,1,6,1.4
Brandon Ingram,19-142,F,1/22/17,LAL,DAL,1,36,2,12,0.167,2,9,0.222,0,3,0,2,3,0.667,0,1,1,0,1,0,3,5,6,-5.7
Willie Reed,26-185,F-C,11/17/16,MIA,MIL,0,19,3,4,0.75,3,4,0.75,0,0,,0,2,0,1,2,3,1,0,0,1,2,6,3.8
Manu Ginobili,39-244,G,3/29/17,SAS,GSW,0,17,2,7,0.286,0,2,0,2,5,0.4,0,0,,0,1,1,3,2,0,1,2,6,4.5
Boban Marjanovic,28-205,C,3/8/17,DET,IND,0,11,1,2,0.5,1,2,0.5,0,0,,4,5,0.8,0,5,5,1,0,0,0,2,6,6
Willie Cauley-Stein,23-124,F-C,12/20/16,SAC,POR,0,7,3,3,1,3,3,1,0,0,,0,0,,0,0,0,0,0,0,0,1,6,4.7
Patrick Beverley,28-140,G,11/29/16,HOU,UTA,1,22,2,5,0.4,2,4,0.5,0,1,0,2,2,1,1,5,6,3,0,0,0,4,6,6
Jason Terry,39-120,G,1/13/17,MIL,MIA,0,23,2,5,0.4,0,1,0,2,4,0.5,0,0,,0,1,1,3,1,0,0,1,6,6.3
Lance Stephenson,26-156,G-F,2/8/17,MIN,TOR,0,20,3,7,0.429,3,7,0.429,0,0,,0,0,,0,4,4,1,0,0,1,0,6,3.2
Boris Diaw,34-261,F-C,1/2/17,UTA,BRK,0,13,3,7,0.429,3,6,0.5,0,1,0,0,0,,1,1,2,0,0,0,1,1,6,1.9
Shaun Livingston,31-053,G,11/3/16,GSW,OKC,0,17,3,4,0.75,3,4,0.75,0,0,,0,0,,1,1,2,1,0,0,0,2,6,5.3
Rajon Rondo,30-277,G,11/25/16,CHI,PHI,1,26,2,5,0.4,2,5,0.4,0,0,,2,3,0.667,0,8,8,10,2,0,1,2,6,12.5
Mason Plumlee,26-361,C-F,3/1/17,DEN,MIL,0,18,3,6,0.5,3,6,0.5,0,0,,0,0,,1,3,4,0,2,0,0,3,6,5.4
Larry Nance Jr.,23-336,F,12/2/16,LAL,TOR,0,23,3,6,0.5,3,6,0.5,0,0,,0,0,,2,4,6,0,0,0,0,1,6,5.2
Jeff Teague,28-199,G,12/26/16,IND,CHI,1,24,2,8,0.25,1,5,0.2,1,3,0.333,1,2,0.5,1,1,2,5,0,0,3,0,6,2.3
Channing Frye,33-204,C-F,12/7/16,CLE,NYK,0,13,2,4,0.5,0,1,0,2,3,0.667,0,0,,0,0,0,0,1,0,0,2,6,4.2
DeMarre Carroll,30-212,F,2/24/17,TOR,BOS,1,28,2,4,0.5,1,1,1,1,3,0.333,1,2,0.5,1,3,4,1,0,1,0,5,6,4.6
Dante Cunningham,29-351,F,4/8/17,NOP,GSW,1,27,3,6,0.5,3,4,0.75,0,2,0,0,0,,1,4,5,0,0,0,0,0,6,4.9
Patty Mills,28-145,G,1/3/17,SAS,TOR,0,18,2,4,0.5,0,0,,2,4,0.5,0,0,,0,3,3,3,1,0,1,1,6,6.6
Brandon Knight,24-346,G,11/12/16,PHO,BRK,0,22,2,13,0.154,2,9,0.222,0,4,0,2,2,1,2,7,9,4,0,0,2,1,6,1.6
Donatas Motiejunas,26-204,F-C,4/12/17,NOP,POR,0,17,3,11,0.273,3,7,0.429,0,4,0,0,1,0,1,1,2,0,3,0,0,2,6,2.3
Tarik Black,25-110,C-F,3/12/17,LAL,PHI,0,18,3,5,0.6,3,5,0.6,0,0,,0,0,,3,1,4,1,1,0,0,3,6,6.6
Greg Monroe,26-237,C-F,1/27/17,MIL,TOR,0,17,3,5,0.6,3,5,0.6,0,0,,0,0,,1,1,2,1,1,1,2,0,6,5.1
Bobby Portis,22-004,F,2/14/17,CHI,TOR,0,11,1,5,0.2,0,3,0,1,2,0.5,3,4,0.75,0,4,4,0,0,1,1,0,6,3.4
Jason Smith,30-345,F-C,2/10/17,WAS,IND,0,17,3,5,0.6,3,5,0.6,0,0,,0,0,,1,1,2,0,0,1,0,0,6,5.4
Kyle O'Quinn,26-277,F-C,12/28/16,NYK,ATL,0,13,3,5,0.6,3,5,0.6,0,0,,0,0,,0,4,4,0,1,1,2,3,6,3.4
Caris LeVert,22-136,G-F,1/8/17,BRK,PHI,0,21,3,5,0.6,3,4,0.75,0,1,0,0,1,0,0,3,3,2,0,0,2,2,6,2.8
Langston Galloway,25-051,G,1/29/17,NOP,WAS,0,11,2,4,0.5,0,0,,2,4,0.5,0,0,,0,2,2,0,1,0,0,2,6,4.8
Jason Smith,30-327,F-C,1/23/17,WAS,CHO,0,19,3,4,0.75,3,4,0.75,0,0,,0,0,,0,6,6,0,1,1,2,4,6,4.3
Ersan Ilyasova,29-305,F,3/16/17,ATL,MEM,0,14,2,5,0.4,1,4,0.25,1,1,1,1,2,0.5,3,2,5,0,0,0,1,2,6,3.8
Anthony Morrow,31-033,G,10/30/16,OKC,LAL,0,6,3,5,0.6,3,4,0.75,0,1,0,0,0,,0,0,0,1,1,0,0,1,6,5
Jon Leuer,27-326,F,4/5/17,DET,TOR,1,14,3,5,0.6,3,5,0.6,0,0,,0,0,,2,3,5,1,0,0,1,1,6,5.3
Reggie Bullock,26-022,G-F,4/7/17,DET,HOU,0,25,2,6,0.333,0,3,0,2,3,0.667,0,0,,2,1,3,4,1,0,0,1,6,7.7
Stanley Johnson,20-196,F,12/11/16,DET,PHI,0,26,2,8,0.25,1,5,0.2,1,3,0.333,1,2,0.5,1,1,2,4,5,1,0,5,6,8.3
Cory Joseph,25-191,G,2/27/17,TOR,NYK,1,34,3,7,0.429,3,4,0.75,0,3,0,0,0,,1,2,3,4,2,0,2,1,6,6
Kris Humphries,31-364,F-C,2/4/17,ATL,ORL,0,12,2,4,0.5,2,4,0.5,0,0,,2,2,1,1,2,3,1,0,0,1,1,6,4.6
Ersan Ilyasova,29-329,F,4/9/17,ATL,CLE,0,21,2,10,0.2,2,5,0.4,0,5,0,2,3,0.667,4,4,8,0,1,0,2,2,6,1.6
Danny Green,29-197,G-F,1/5/17,SAS,DEN,1,25,2,7,0.286,0,1,0,2,6,0.333,0,0,,1,4,5,2,1,1,1,0,6,5.9
Evan Turner,28-167,G,4/12/17,POR,NOP,1,23,3,8,0.375,3,8,0.375,0,0,,0,0,,0,4,4,3,0,0,3,1,6,1.5
Trevor Booker,29-096,F,3/1/17,BRK,SAC,0,24,3,7,0.429,3,7,0.429,0,0,,0,0,,3,5,8,4,2,0,3,3,6,6.5
Jeff Withey,26-331,C,2/1/17,UTA,MIL,0,14,2,5,0.4,2,5,0.4,0,0,,2,2,1,2,2,4,0,0,1,0,1,6,5.6
JaMychal Green,26-150,F,11/18/16,MEM,DAL,1,32,2,6,0.333,1,3,0.333,1,3,0.333,1,2,0.5,0,12,12,1,1,0,2,4,6,3.9
Mike Dunleavy,36-044,F-G,10/29/16,CLE,ORL,0,20,2,8,0.25,0,2,0,2,6,0.333,0,0,,0,2,2,1,0,0,0,1,6,2.1
Dwight Powell,25-159,F-C,12/26/16,DAL,NOP,0,21,2,3,0.667,2,2,1,0,1,0,2,4,0.5,0,5,5,0,0,0,0,3,6,4.2
Jerami Grant,23-030,F,4/11/17,OKC,MIN,0,22,2,5,0.4,1,3,0.333,1,2,0.5,1,2,0.5,1,7,8,1,0,1,0,5,6,5.1
Isaiah Whitehead,21-272,G,12/5/16,BRK,WAS,1,24,3,8,0.375,3,8,0.375,0,0,,0,0,,0,4,4,5,0,0,3,3,6,2.1
Rodney McGruder,25-233,G,3/19/17,MIA,POR,1,19,2,4,0.5,1,1,1,1,3,0.333,1,2,0.5,2,2,4,1,0,1,1,1,6,5.6
Nikola Vucevic,26-162,C,4/4/17,ORL,CLE,1,24,3,9,0.333,3,9,0.333,0,0,,0,0,,1,9,10,2,1,1,1,2,6,5.6
Andrew Harrison,22-021,G,11/18/16,MEM,DAL,0,26,2,8,0.25,1,4,0.25,1,4,0.25,1,2,0.5,0,4,4,1,2,0,3,4,6,0.1
Boris Diaw,34-321,F-C,3/3/17,UTA,BRK,0,13,2,8,0.25,2,7,0.286,0,1,0,2,4,0.5,2,4,6,4,0,1,1,2,6,4.7
Chris Paul,31-313,G,3/15/17,LAC,MIL,1,36,2,10,0.2,1,6,0.167,1,4,0.25,1,1,1,1,4,5,7,1,0,6,4,6,0
Beno Udrih,34-144,G,11/26/16,DET,OKC,0,17,3,3,1,3,3,1,0,0,,0,0,,1,1,2,2,0,0,0,0,6,7.5
Nene Hilario,34-188,F-C,3/20/17,HOU,DEN,0,21,3,6,0.5,3,6,0.5,0,0,,0,0,,1,2,3,0,2,0,1,2,6,4.5
Patty Mills,28-230,G,3/29/17,SAS,GSW,0,23,1,4,0.25,0,1,0,1,3,0.333,3,5,0.6,1,1,2,0,0,0,2,2,6,1
Luc Mbah a Moute,30-175,F,3/3/17,LAC,MIL,1,30,3,5,0.6,3,3,1,0,2,0,0,0,,2,1,3,2,3,0,0,0,6,9.8
Trevor Ariza,31-122,F,10/30/16,HOU,DAL,1,33,2,4,0.5,0,0,,2,4,0.5,0,0,,2,5,7,3,2,1,3,1,6,8.3
Patrick Patterson,27-242,F,11/11/16,TOR,CHO,0,33,2,10,0.2,0,3,0,2,7,0.286,0,0,,2,5,7,3,0,0,0,2,6,4
James Jones,36-054,F-G,11/27/16,CLE,PHI,0,11,2,2,1,0,0,,2,2,1,0,0,,0,0,0,0,1,0,0,2,6,5.6
