,PLAYER,POS,DATE,MP,PTS,GMSC
,Alec Burks Var,,,,38.14623656,
161,Alex Len,C,3/12/16,31,26,18.6
587,Alex Len,C,3/25/16,25,14,7.5
737,Alex Len,C,3/14/16,26,9,4.1
1309,Alex Len,C,2/10/16,14,6,3.1
1346,Alex Len,C,3/28/16,37,14,10.2
1496,Alex Len,C,12/16/15,22,6,5.9
1660,Alex Len,C,4/11/16,38,16,6.2
2040,Alex Len,C,2/4/16,27,12,13.3
2318,Alex Len,C,3/4/16,36,31,22.1
2462,Alex Len,C,11/27/15,9,2,3.6
2546,Alex Len,C,3/26/16,28,10,3.7
2854,Alex Len,C,3/10/16,33,4,-0.4
3253,Alex Len,C,12/4/15,15,6,5.8
3598,Alex Len,C,3/23/16,29,10,5.3
3680,Alex Len,C,3/18/16,28,2,-4.9
4112,Alex Len,C,2/8/16,23,13,15.4
4151,Alex Len,C,12/18/15,29,19,20.3
4242,Alex Len,C,4/1/16,24,4,-2.7
4550,Alex Len,C,1/2/16,6,0,-3.6
4715,Alex Len,C,4/7/16,30,6,9.6
5151,Alex Len,C,2/22/16,31,14,7.3
5224,Alex Len,C,12/31/15,17,0,0
5303,Alex Len,C,11/8/15,20,8,7.8
5658,Alex Len,C,11/25/15,16,2,3.4
6334,Alex Len,C,11/22/15,2,0,-0.4
6488,Alex Len,C,3/30/16,39,17,18.1
6764,Alex Len,C,1/27/16,27,4,0.1
6870,Alex Len,C,12/11/15,28,13,11.8
7282,Alex Len,C,3/1/16,34,18,9.4
7483,Alex Len,C,1/3/16,27,6,7
7542,Alex Len,C,12/13/15,25,18,17.1
7593,Alex Len,C,4/9/16,25,10,9
7860,Alex Len,C,3/3/16,40,12,4.9
8209,Alex Len,C,11/4/15,22,16,10.6
8447,Alex Len,C,2/27/16,34,22,21.4
8477,Alex Len,C,2/25/16,17,13,5.4
9230,Alex Len,C,12/14/15,21,2,-3.4
9281,Alex Len,C,12/1/15,35,13,13.8
9339,Alex Len,C,11/2/15,7,2,0.4
9708,Alex Len,C,1/19/16,21,6,5.5
9818,Alex Len,C,12/23/15,9,0,0.5
10216,Alex Len,C,3/9/16,28,14,9.8
11197,Alex Len,C,12/9/15,36,20,19
11295,Alex Len,C,11/20/15,14,9,10
11432,Alex Len,C,4/5/16,35,10,5.6
11974,Alex Len,C,11/12/15,19,2,-1.4
12034,Alex Len,C,4/13/16,28,10,4.4
12668,Alex Len,C,3/6/16,34,19,20.6
12961,Alex Len,C,12/26/15,19,6,8
13091,Alex Len,C,11/16/15,25,10,10.2
13350,Alex Len,C,1/26/16,34,16,15
13667,Alex Len,C,11/14/15,16,4,-0.1
13730,Alex Len,C,10/30/15,19,10,9.9
13932,Alex Len,C,2/21/16,24,23,17.8
13973,Alex Len,C,1/23/16,35,16,14.7
14327,Alex Len,C,10/31/15,13,2,-3
14531,Alex Len,C,1/6/16,14,0,-0.6
14631,Alex Len,C,12/20/15,20,2,1.4
14647,Alex Len,C,12/7/15,22,15,8.5
14671,Alex Len,C,12/2/15,15,6,3.1
14797,Alex Len,C,10/28/15,14,4,2.3
15134,Alex Len,C,1/29/16,17,6,2.1
15443,Alex Len,C,11/29/15,28,8,8
15502,Alex Len,C,11/18/15,17,6,8.6
15732,Alex Len,C,3/21/16,28,9,6.9
15983,Alex Len,C,12/6/15,32,12,13.6
18398,Alex Len,C,2/2/16,16,2,-2.3
18449,Alex Len,C,1/21/16,35,13,9.2
19432,Alex Len,C,12/28/15,24,5,1.5
19723,Alex Len,C,11/6/15,9,4,3.1
19800,Alex Len,C,3/17/16,30,10,3.1
19873,Alex Len,C,1/31/16,15,6,9.5
19949,Alex Len,C,12/30/15,12,0,-3.7
20273,Alex Len,C,12/21/15,17,5,-0.7
20710,Alex Len,C,1/8/16,13,5,2.1
21116,Alex Len,C,11/23/15,6,0,-1.8
23320,Alex Len,C,4/3/16,35,3,-3.2
25596,Alex Len,C,2/6/16,15,5,4.2
,Alex Len Var,,,,45.33749584,
225,Alex Stepheson,PF,2/20/16,2,0,0.3
2887,Alex Stepheson,PF,3/9/16,1,0,0
5165,Alex Stepheson,PF,2/22/16,7,2,1.9
8444,Alex Stepheson,PF,3/7/16,4,0,-0.5
9453,Alex Stepheson,,3/14/16,25,12,7
10210,Alex Stepheson,,3/16/16,5,0,-0.1
17348,Alex Stepheson,,3/17/16,11,4,4.7
23336,Alex Stepheson,PF,3/12/16,19,4,7.3
,Alex Stepheson Var,,,,17.07142857,
7,Alexis Ajinca,C,2/10/16,21,8,6.7
824,Alexis Ajinca,C,3/2/16,7,5,2.4
839,Alexis Ajinca,C,2/25/16,19,2,4.9
1839,Alexis Ajinca,C,2/11/16,17,5,2.7
1995,Alexis Ajinca,C,2/27/16,13,0,-2.1
2031,Alexis Ajinca,C,2/23/16,17,7,4.1
2379,Alexis Ajinca,C,1/25/16,4,0,-1.2
2439,Alexis Ajinca,C,1/13/16,10,0,1.1
3090,Alexis Ajinca,C,1/28/16,14,2,0
3280,Alexis Ajinca,C,10/27/15,17,6,2.5
3556,Alexis Ajinca,C,12/2/15,9,6,1.4
4578,Alexis Ajinca,C,11/18/15,23,12,11.3
5680,Alexis Ajinca,C,11/7/15,16,8,7.7
5880,Alexis Ajinca,C,2/8/16,17,0,-1
5972,Alexis Ajinca,C,12/14/15,11,2,-1.9
5986,Alexis Ajinca,C,12/11/15,23,7,3.8
6074,Alexis Ajinca,C,10/31/15,6,7,9.5
6280,Alexis Ajinca,C,12/7/15,19,12,12.3
6379,Alexis Ajinca,C,11/10/15,5,0,1.6
6726,Alexis Ajinca,C,2/4/16,9,1,0
7194,Alexis Ajinca,C,3/22/16,12,4,2.6
7600,Alexis Ajinca,C,4/9/16,23,4,-1.9
7734,Alexis Ajinca,C,3/20/16,2,0,-1.8
8841,Alexis Ajinca,C,11/11/15,9,0,-1.2
9146,Alexis Ajinca,C,12/31/15,3,4,2.3
9375,Alexis Ajinca,C,4/6/16,22,10,5
9394,Alexis Ajinca,C,4/5/16,25,12,4.6
10326,Alexis Ajinca,C,2/3/16,6,4,1.9
10801,Alexis Ajinca,C,3/31/16,16,8,7.2
10941,Alexis Ajinca,C,2/21/16,10,4,0.9
11402,Alexis Ajinca,C,10/28/15,7,2,0.1
11798,Alexis Ajinca,C,1/21/16,10,6,6.3
11949,Alexis Ajinca,C,11/17/15,4,4,2.2
11994,Alexis Ajinca,C,11/6/15,9,4,5.3
12012,Alexis Ajinca,C,11/3/15,20,4,3.2
12295,Alexis Ajinca,C,1/8/16,26,4,10.7
12772,Alexis Ajinca,C,2/19/16,10,4,4.3
13111,Alexis Ajinca,C,11/13/15,24,10,7.2
14006,Alexis Ajinca,C,1/19/16,15,2,2.8
14043,Alexis Ajinca,C,1/10/16,14,9,10
14071,Alexis Ajinca,C,1/6/16,3,0,-0.4
14126,Alexis Ajinca,C,12/28/15,13,7,7.9
14496,Alexis Ajinca,C,1/12/16,22,10,9.5
14741,Alexis Ajinca,C,11/15/15,7,0,-3.8
14900,Alexis Ajinca,C,3/28/16,26,12,6.5
15069,Alexis Ajinca,C,2/1/16,9,3,4.5
15156,Alexis Ajinca,C,1/23/16,7,4,4.5
15684,Alexis Ajinca,C,3/24/16,36,22,11.3
16455,Alexis Ajinca,C,12/12/15,26,6,5.5
16676,Alexis Ajinca,C,4/8/16,37,28,28
16878,Alexis Ajinca,C,1/15/16,6,4,2.9
17215,Alexis Ajinca,C,11/20/15,12,8,5.7
17269,Alexis Ajinca,C,4/3/16,29,16,16.8
17810,Alexis Ajinca,C,12/1/15,13,10,7.5
18084,Alexis Ajinca,C,12/16/15,4,0,-1.5
18315,Alexis Ajinca,C,3/26/16,21,9,5.4
21209,Alexis Ajinca,C,3/30/16,32,18,7.8
22258,Alexis Ajinca,C,11/28/15,4,2,0.6
23094,Alexis Ajinca,C,1/18/16,12,4,1.7
,Alexis Ajinca Var,,,,30.58503799,
189,Allen Crabbe,SG,3/11/16,30,11,11.3
268,Allen Crabbe,SG,4/3/16,24,4,2.2
413,Allen Crabbe,SG,2/19/16,25,9,8.4
673,Allen Crabbe,SG,4/5/16,25,8,5
955,Allen Crabbe,SG,3/28/16,21,21,18.6
1097,Allen Crabbe,SG,3/2/16,26,10,6.8
1145,Allen Crabbe,SG,3/18/16,28,1,-2.8
1377,Allen Crabbe,SG,3/26/16,23,4,0.2
1563,Allen Crabbe,SG,2/25/16,26,4,2.2
2104,Allen Crabbe,SG,4/13/16,25,16,16
2273,Allen Crabbe,SG,3/14/16,17,2,1.2
2531,Allen Crabbe,SG,4/9/16,28,9,3.9
2713,Allen Crabbe,SG,3/12/16,24,18,15.6
2787,Allen Crabbe,SG,3/24/16,30,7,-0.2
3067,Allen Crabbe,SG,2/10/16,30,5,4.5
3153,Allen Crabbe,SG,1/10/16,22,11,5.6
3293,Allen Crabbe,SG,4/6/16,24,16,12.6
3442,Allen Crabbe,SG,1/26/16,28,13,10.8
3479,Allen Crabbe,SG,1/8/16,30,18,11.3
3607,Allen Crabbe,SG,3/23/16,21,6,6.6
3633,Allen Crabbe,SG,3/20/16,36,24,16.6
3989,Allen Crabbe,SG,3/31/16,28,11,10.5
4078,Allen Crabbe,SG,3/8/16,30,8,5.8
4825,Allen Crabbe,SG,2/23/16,25,5,5
5618,Allen Crabbe,SG,1/20/16,28,6,4.5
5962,Allen Crabbe,SG,12/14/15,29,7,5.9
6661,Allen Crabbe,SG,2/27/16,35,11,8.9
6869,Allen Crabbe,SG,12/11/15,28,18,13.3
7042,Allen Crabbe,SG,11/20/15,22,3,-1.7
7055,Allen Crabbe,SG,11/18/15,39,15,9.9
7309,Allen Crabbe,SG,3/1/16,22,6,2.5
7643,Allen Crabbe,SG,4/2/16,26,5,0
8007,Allen Crabbe,SG,1/23/16,27,6,-1.5
8092,Allen Crabbe,SG,12/27/15,31,10,2.1
8590,Allen Crabbe,SG,1/31/16,23,8,2
8659,Allen Crabbe,SG,1/18/16,31,14,12
8988,Allen Crabbe,SG,2/28/16,27,3,2.5
9527,Allen Crabbe,SG,3/6/16,24,6,5.6
9550,Allen Crabbe,SG,3/4/16,24,6,2
9896,Allen Crabbe,SG,12/16/15,16,3,-1.7
10344,Allen Crabbe,SG,1/29/16,32,20,12.1
10456,Allen Crabbe,SG,1/16/16,20,2,1
11377,Allen Crabbe,SG,11/9/15,23,11,5
11399,Allen Crabbe,SG,10/28/15,22,4,1
11657,Allen Crabbe,SG,2/4/16,34,17,13.5
12240,Allen Crabbe,SG,2/2/16,25,11,8.5
12320,Allen Crabbe,SG,1/6/16,34,11,8.9
12436,Allen Crabbe,SG,11/30/15,17,5,1.2
12472,Allen Crabbe,SG,11/15/15,27,17,13.3
12907,Allen Crabbe,SG,1/15/16,27,19,17.4
13144,Allen Crabbe,SG,11/11/15,20,6,2.4
13621,Allen Crabbe,SG,12/5/15,23,11,6.7
13644,Allen Crabbe,SG,11/22/15,26,7,2.6
13736,Allen Crabbe,SG,10/30/15,23,0,0.3
13847,Allen Crabbe,SG,3/17/16,26,4,1.4
14308,Allen Crabbe,SG,11/2/15,25,7,1.9
14325,Allen Crabbe,SG,10/31/15,17,11,4
14539,Allen Crabbe,SG,1/3/16,32,14,8.7
15320,Allen Crabbe,SG,12/23/15,31,12,3.7
16007,Allen Crabbe,SG,12/3/15,25,18,11.2
16979,Allen Crabbe,SG,12/30/15,32,20,14
17183,Allen Crabbe,SG,11/28/15,17,9,4.2
17199,Allen Crabbe,SG,11/24/15,31,9,7.2
17753,Allen Crabbe,SG,12/18/15,24,14,7.8
17796,Allen Crabbe,SG,12/1/15,35,18,12.7
18618,Allen Crabbe,SG,12/8/15,34,14,8.5
18669,Allen Crabbe,SG,11/16/15,14,3,0.7
19067,Allen Crabbe,SG,12/7/15,25,12,8.7
19129,Allen Crabbe,SG,11/8/15,25,15,14.8
19251,Allen Crabbe,SG,2/8/16,21,13,14.1
20332,Allen Crabbe,SG,12/12/15,27,17,12.5
21267,Allen Crabbe,SG,2/21/16,20,3,-0.6
22118,Allen Crabbe,SG,1/4/16,32,9,7.1
22568,Allen Crabbe,SG,12/26/15,31,26,19.5
22638,Allen Crabbe,SG,12/21/15,32,19,9.7
23615,Allen Crabbe,SG,11/13/15,18,12,11.4
23745,Allen Crabbe,SG,1/13/16,21,11,10.9
24098,Allen Crabbe,SG,12/20/15,30,8,6
24668,Allen Crabbe,SG,11/5/15,21,11,10.1
25276,Allen Crabbe,SG,11/4/15,21,1,-0.2
25524,Allen Crabbe,SG,12/31/15,33,15,8.6
,Allen Crabbe Var,,,,34.13611111,
17,Alonzo Gee,SF,2/10/16,20,5,3.9
105,Alonzo Gee,SF,3/14/16,31,10,13
717,Alonzo Gee,SF,3/16/16,24,7,7.9
826,Alonzo Gee,SF,3/2/16,12,0,-1.6
843,Alonzo Gee,SF,2/25/16,23,0,0.1
1142,Alonzo Gee,SF,3/18/16,28,0,0.4
1286,Alonzo Gee,SF,3/7/16,20,9,8.9
1844,Alonzo Gee,SF,2/11/16,33,4,2.9
1989,Alonzo Gee,SF,2/27/16,19,2,2
2033,Alonzo Gee,SF,2/23/16,16,5,-0.4
2366,Alonzo Gee,SF,1/25/16,33,5,5.4
2437,Alonzo Gee,SF,1/13/16,18,5,4.6
3086,Alonzo Gee,SF,1/28/16,29,10,12.2
3271,Alonzo Gee,SF,10/27/15,27,8,7.1
3558,Alonzo Gee,SF,12/2/15,23,4,4.2
4170,Alonzo Gee,SF,12/18/15,21,5,5.6
4585,Alonzo Gee,SF,11/18/15,31,3,4.5
5266,Alonzo Gee,SF,11/27/15,33,2,2.4
5500,Alonzo Gee,SF,3/12/16,34,10,10.8
5666,Alonzo Gee,SF,11/25/15,16,0,-3.7
5686,Alonzo Gee,SF,11/7/15,9,2,1.6
5884,Alonzo Gee,SF,2/8/16,13,2,0.7
5973,Alonzo Gee,SF,12/14/15,10,0,-0.1
5992,Alonzo Gee,SF,12/11/15,17,0,-0.5
6083,Alonzo Gee,SF,10/31/15,16,2,0.5
6288,Alonzo Gee,SF,12/7/15,13,8,8.1
6322,Alonzo Gee,SF,11/22/15,38,8,11.8
6370,Alonzo Gee,SF,11/10/15,22,8,5.2
6729,Alonzo Gee,SF,2/4/16,16,0,-1.5
7191,Alonzo Gee,SF,3/22/16,26,7,4.2
7513,Alonzo Gee,SF,12/26/15,21,5,2.3
7730,Alonzo Gee,SF,3/20/16,28,4,-1.2
7795,Alonzo Gee,SF,3/9/16,24,4,7.9
8740,Alonzo Gee,SF,12/4/15,13,3,-0.7
8839,Alonzo Gee,SF,11/11/15,30,7,3.7
8968,Alonzo Gee,SF,3/3/16,16,2,2.7
9147,Alonzo Gee,SF,12/31/15,14,0,-1.5
10302,Alonzo Gee,SF,2/6/16,17,3,2.4
10327,Alonzo Gee,SF,2/3/16,18,0,-2.6
10937,Alonzo Gee,SF,2/21/16,27,0,1.7
11401,Alonzo Gee,SF,10/28/15,18,3,1.2
11790,Alonzo Gee,SF,1/21/16,29,7,10.9
11864,Alonzo Gee,SF,1/2/16,25,5,5.9
11948,Alonzo Gee,SF,11/17/15,22,0,-1.4
11998,Alonzo Gee,SF,11/6/15,4,0,-0.7
12016,Alonzo Gee,SF,11/3/15,10,2,1
12311,Alonzo Gee,SF,1/8/16,0,0,0
12769,Alonzo Gee,SF,2/19/16,17,2,4.5
13119,Alonzo Gee,SF,11/13/15,25,0,1.3
13341,Alonzo Gee,SF,1/30/16,39,4,5.6
13566,Alonzo Gee,SF,12/20/15,17,4,3.1
13867,Alonzo Gee,SF,3/11/16,25,0,0.6
14000,Alonzo Gee,SF,1/19/16,30,7,8.9
14050,Alonzo Gee,SF,1/10/16,6,0,0
14068,Alonzo Gee,SF,1/6/16,18,0,-0.3
14137,Alonzo Gee,SF,12/28/15,16,2,0.5
14509,Alonzo Gee,SF,1/12/16,16,5,4.5
14731,Alonzo Gee,SF,11/15/15,26,2,0.7
14904,Alonzo Gee,SF,3/28/16,20,9,4.1
15068,Alonzo Gee,SF,2/1/16,25,8,5.3
15150,Alonzo Gee,SF,1/23/16,35,12,12.2
15315,Alonzo Gee,SF,12/23/15,28,8,7.9
15691,Alonzo Gee,SF,3/24/16,41,17,11.3
16450,Alonzo Gee,SF,12/12/15,37,9,11.7
16867,Alonzo Gee,SF,1/15/16,29,8,11.5
17220,Alonzo Gee,SF,11/20/15,18,4,3.9
17816,Alonzo Gee,SF,12/1/15,28,6,2.9
18075,Alonzo Gee,SF,12/16/15,23,8,7.8
18305,Alonzo Gee,SF,3/26/16,41,18,13.8
18505,Alonzo Gee,SF,12/25/15,17,0,-0.2
22057,Alonzo Gee,SF,3/5/16,18,4,4.9
22248,Alonzo Gee,SF,11/28/15,26,8,7.9
23093,Alonzo Gee,SF,1/18/16,24,2,0.7
,Alonzo Gee Var,,,,15.77549467,
1606,Amar'e Stoudemire,PF,2/24/16,6,0,-1.2
4260,Amar'e Stoudemire,PF,3/28/16,17,7,9
5397,Amar'e Stoudemire,PF,4/1/16,17,8,6.2
5840,Amar'e Stoudemire,PF,2/27/16,15,6,4.5
5893,Amar'e Stoudemire,PF,2/2/16,24,14,9.9
6144,Amar'e Stoudemire,PF,3/6/16,17,2,0
7163,Amar'e Stoudemire,PF,3/25/16,16,13,11.8
7183,Amar'e Stoudemire,PF,3/22/16,15,16,17.1
7470,Amar'e Stoudemire,PF,1/11/16,5,6,5
7645,Amar'e Stoudemire,PF,4/2/16,11,2,0.6
7752,Amar'e Stoudemire,PF,3/14/16,11,4,2.3
7841,Amar'e Stoudemire,PF,3/4/16,14,12,10.5
7862,Amar'e Stoudemire,PF,3/3/16,25,8,9.1
8861,Amar'e Stoudemire,PF,4/8/16,11,4,2.5
8948,Amar'e Stoudemire,PF,3/17/16,21,6,5.6
10110,Amar'e Stoudemire,PF,3/30/16,14,4,2.1
11535,Amar'e Stoudemire,PF,3/19/16,12,8,5.8
12602,Amar'e Stoudemire,PF,4/7/16,16,10,8.7
14927,Amar'e Stoudemire,PF,3/12/16,20,4,2.7
15486,Amar'e Stoudemire,PF,11/19/15,8,10,8.1
16122,Amar'e Stoudemire,PF,4/5/16,14,4,1.4
16244,Amar'e Stoudemire,PF,2/22/16,12,4,1.9
16783,Amar'e Stoudemire,PF,3/1/16,15,7,10.5
16854,Amar'e Stoudemire,PF,1/17/16,14,2,2.2
17445,Amar'e Stoudemire,PF,2/20/16,17,4,4.7
18251,Amar'e Stoudemire,PF,10/30/15,12,2,1.9
18842,Amar'e Stoudemire,PF,4/12/16,6,4,1.8
18899,Amar'e Stoudemire,PF,3/11/16,15,6,4.1
19220,Amar'e Stoudemire,PF,3/9/16,18,6,5
20626,Amar'e Stoudemire,PF,1/31/16,21,13,15.9
20709,Amar'e Stoudemire,PF,1/8/16,13,0,1.7
20878,Amar'e Stoudemire,PF,2/28/16,22,8,7.1
20899,Amar'e Stoudemire,PF,2/19/16,19,6,4.1
21050,Amar'e Stoudemire,PF,12/11/15,7,1,0.9
21247,Amar'e Stoudemire,PF,3/23/16,14,2,0.1
21715,Amar'e Stoudemire,PF,2/9/16,13,2,4.3
22172,Amar'e Stoudemire,PF,1/1/16,9,0,-0.1
22386,Amar'e Stoudemire,PF,2/7/16,16,2,3.1
22535,Amar'e Stoudemire,PF,12/28/15,14,4,2.4
22859,Amar'e Stoudemire,PF,2/5/16,16,7,5.6
22877,Amar'e Stoudemire,PF,2/3/16,17,6,8.6
23066,Amar'e Stoudemire,PF,1/29/16,24,12,11.5
23406,Amar'e Stoudemire,PF,1/20/16,21,11,4.9
23448,Amar'e Stoudemire,PF,1/4/16,15,2,2.5
23818,Amar'e Stoudemire,PF,12/26/15,9,2,2.3
24367,Amar'e Stoudemire,PF,1/26/16,22,4,3.7
24383,Amar'e Stoudemire,PF,1/25/16,26,8,9.8
24720,Amar'e Stoudemire,PF,1/19/16,6,6,2.9
25191,Amar'e Stoudemire,PF,1/22/16,18,8,5.6
25255,Amar'e Stoudemire,PF,1/15/16,6,5,4.7
25360,Amar'e Stoudemire,PF,12/29/15,13,6,6.2
26029,Amar'e Stoudemire,PF,1/9/16,6,2,2.3
,Amar'e Stoudemire Var,,,,14.6907994,
491,Amir Johnson,PF,3/11/16,14,0,0.3
942,Amir Johnson,PF,4/1/16,26,7,6.6
1061,Amir Johnson,PF,3/16/16,25,11,16.1
1095,Amir Johnson,PF,3/2/16,14,6,7.8
1633,Amir Johnson,PF,2/22/16,15,2,1.6
2214,Amir Johnson,PF,3/21/16,34,11,14.4
2348,Amir Johnson,PF,2/7/16,19,8,12.1
2548,Amir Johnson,PF,3/26/16,25,2,3.1
2995,Amir Johnson,PF,2/25/16,25,15,15.4
3411,Amir Johnson,PF,1/27/16,30,9,17.7
3522,Amir Johnson,PF,12/3/15,23,4,8
3635,Amir Johnson,PF,3/20/16,24,18,16.2
3856,Amir Johnson,PF,1/25/16,23,4,5.6
3909,Amir Johnson,PF,12/11/15,19,4,3.3
3986,Amir Johnson,PF,3/31/16,28,12,12.2
4097,Amir Johnson,PF,2/21/16,18,6,5.3
5188,Amir Johnson,PF,2/10/16,13,0,-2.7
5279,Amir Johnson,PF,11/15/15,30,7,4.7
5836,Amir Johnson,PF,2/27/16,19,5,6.6
6124,Amir Johnson,PF,3/9/16,18,3,1.2
6164,Amir Johnson,PF,3/5/16,17,8,4
6228,Amir Johnson,PF,2/5/16,14,6,6.8
6243,Amir Johnson,PF,1/16/16,26,7,7.7
6281,Amir Johnson,PF,12/7/15,24,9,9.5
6451,Amir Johnson,PF,4/11/16,22,5,8.1
6472,Amir Johnson,PF,4/3/16,26,10,10.3
6650,Amir Johnson,PF,3/4/16,13,0,-0.1
7128,Amir Johnson,PF,11/6/15,18,5,1.6
7208,Amir Johnson,PF,3/15/16,23,8,7.5
7385,Amir Johnson,PF,2/3/16,21,4,4.3
8035,Amir Johnson,PF,1/15/16,19,13,12.2
8118,Amir Johnson,PF,11/27/15,18,6,6.8
8368,Amir Johnson,PF,3/18/16,26,6,6.2
8570,Amir Johnson,PF,2/2/16,15,4,2.3
8902,Amir Johnson,PF,3/28/16,19,3,2.7
9030,Amir Johnson,PF,2/9/16,27,6,4.1
9346,Amir Johnson,PF,4/9/16,26,14,17.6
9378,Amir Johnson,PF,4/6/16,25,6,5.1
9943,Amir Johnson,PF,11/18/15,28,6,4
10046,Amir Johnson,PF,11/4/15,21,2,-0.7
10658,Amir Johnson,PF,12/18/15,16,4,2.1
10691,Amir Johnson,PF,11/16/15,22,6,11.3
11175,Amir Johnson,PF,12/30/15,18,0,-0.2
11323,Amir Johnson,PF,11/13/15,36,19,21.7
11416,Amir Johnson,PF,4/13/16,22,6,8.1
11505,Amir Johnson,PF,3/23/16,34,11,14.9
11703,Amir Johnson,PF,1/29/16,21,5,6.4
11763,Amir Johnson,PF,1/24/16,20,3,10.9
12697,Amir Johnson,PF,2/29/16,21,5,7.7
13061,Amir Johnson,PF,11/24/15,22,4,5.1
13442,Amir Johnson,PF,1/7/16,22,12,10.5
13499,Amir Johnson,PF,12/26/15,28,12,11.3
13821,Amir Johnson,PF,4/8/16,15,4,2.5
14012,Amir Johnson,PF,1/13/16,29,14,20.5
14236,Amir Johnson,PF,11/20/15,20,8,8.8
14461,Amir Johnson,PF,1/31/16,27,8,9.6
14564,Amir Johnson,PF,1/2/16,29,7,10.7
15182,Amir Johnson,PF,1/18/16,14,3,3.3
15897,Amir Johnson,PF,12/27/15,22,8,9.3
15921,Amir Johnson,PF,12/15/15,24,5,5.5
15943,Amir Johnson,PF,12/12/15,30,6,9.6
16051,Amir Johnson,PF,11/11/15,14,7,4.1
16071,Amir Johnson,PF,11/10/15,23,4,5.9
16095,Amir Johnson,PF,11/1/15,28,10,7.2
16388,Amir Johnson,PF,1/6/16,31,16,14.5
16533,Amir Johnson,PF,11/25/15,25,6,6.9
16837,Amir Johnson,PF,1/20/16,24,2,0.9
16907,Amir Johnson,PF,1/4/16,28,12,13.6
17130,Amir Johnson,PF,11/29/15,19,8,5.8
17655,Amir Johnson,PF,1/12/16,26,11,11.9
17888,Amir Johnson,PF,11/22/15,18,2,1.6
18589,Amir Johnson,PF,12/9/15,26,12,9.8
18774,Amir Johnson,PF,10/30/15,19,11,11.4
19983,Amir Johnson,PF,12/16/15,21,11,3.8
20546,Amir Johnson,PF,10/28/15,20,15,12.9
21675,Amir Johnson,PF,2/19/16,17,2,0.1
24197,Amir Johnson,PF,11/30/15,33,13,11.7
24439,Amir Johnson,PF,1/10/16,32,14,13
24554,Amir Johnson,PF,12/5/15,32,11,8.2
,Amir Johnson Var,,,,18.99285946,
56,Anderson Varejao,C,3/21/16,10,5,3.3
76,Anderson Varejao,C,2/27/16,11,0,-1.7
113,Anderson Varejao,C,3/14/16,7,7,6.5
137,Anderson Varejao,C,3/3/16,6,3,2.9
178,Anderson Varejao,C,3/12/16,5,1,-2.2
195,Anderson Varejao,C,3/11/16,11,4,3.4
270,Anderson Varejao,C,4/3/16,7,1,0.5
316,Anderson Varejao,C,3/18/16,9,0,-1.6
399,Anderson Varejao,C,3/29/16,9,3,3.1
472,Anderson Varejao,C,3/7/16,4,0,0.2
545,Anderson Varejao,C,2/25/16,14,5,4.7
802,Anderson Varejao,C,3/6/16,11,6,5.9
949,Anderson Varejao,C,4/1/16,10,5,2.9
1033,Anderson Varejao,C,3/25/16,10,2,4.3
1054,Anderson Varejao,C,3/19/16,6,0,-0.1
1250,Anderson Varejao,C,3/16/16,10,4,5.1
1605,Anderson Varejao,C,2/24/16,10,1,-0.4
1869,Anderson Varejao,C,2/8/16,9,3,3.2
3579,Anderson Varejao,C,4/9/16,5,0,0.8
4394,Anderson Varejao,C,3/1/16,5,2,2.4
4679,Anderson Varejao,C,4/13/16,2,0,0.3
6701,Anderson Varejao,C,2/10/16,19,8,3
6767,Anderson Varejao,C,1/27/16,11,6,6.1
6781,Anderson Varejao,C,1/18/16,17,5,5.5
7796,Anderson Varejao,C,3/9/16,13,9,6.9
8741,Anderson Varejao,C,12/4/15,4,2,2
10295,Anderson Varejao,C,2/6/16,27,2,5.9
13005,Anderson Varejao,C,12/1/15,9,2,1.9
13172,Anderson Varejao,C,11/4/15,5,0,0.2
13381,Anderson Varejao,C,1/15/16,8,4,3.5
14391,Anderson Varejao,C,3/30/16,9,0,-0.4
15347,Anderson Varejao,C,12/17/15,4,0,-1.4
15550,Anderson Varejao,C,11/13/15,3,0,-0.4
15807,Anderson Varejao,C,2/3/16,7,2,1.7
15931,Anderson Varejao,C,12/15/15,7,4,2.5
18104,Anderson Varejao,C,11/28/15,4,0,-0.1
18146,Anderson Varejao,C,11/25/15,8,0,-1.1
18245,Anderson Varejao,C,10/30/15,16,2,3.8
18627,Anderson Varejao,C,12/8/15,6,0,1.7
19484,Anderson Varejao,C,12/20/15,13,0,-1
19656,Anderson Varejao,C,11/23/15,13,4,6.2
19680,Anderson Varejao,C,11/21/15,19,7,5.2
20074,Anderson Varejao,C,10/27/15,12,2,2.6
21042,Anderson Varejao,C,12/11/15,10,4,4.3
21973,Anderson Varejao,C,11/6/15,7,2,1.3
22583,Anderson Varejao,C,12/26/15,14,4,2.8
22823,Anderson Varejao,C,11/2/15,4,0,-2.7
23013,Anderson Varejao,C,11/14/15,5,2,2.4
23927,Anderson Varejao,C,11/19/15,11,9,8.3
24503,Anderson Varejao,C,1/2/16,7,0,0.5
25462,Anderson Varejao,C,10/28/15,11,4,2.5
25555,Anderson Varejao,C,12/5/15,14,0,1.7
25795,Anderson Varejao,C,11/10/15,6,2,0.9
,Anderson Varejao Var,,,,6.513062409,
1732,Andre Drummond,C,3/18/16,28,14,15.8
2731,Andre Drummond,C,1/16/16,39,14,7
3306,Andre Drummond,C,3/29/16,34,13,12.4
5451,Andre Drummond,C,3/19/16,29,16,9.1
