,PLAYER,POS,DATE,MP,PTS,GMSC
17752,Al-Farouq Aminu,SF,12/18/15,29,16,14.3
17817,Al-Farouq Aminu,SF,12/1/15,18,0,-0.7
18622,Al-Farouq Aminu,SF,12/8/15,31,4,1.5
18660,Al-Farouq Aminu,SF,11/16/15,36,17,8.1
19069,Al-Farouq Aminu,SF,12/7/15,30,9,6.6
19131,Al-Farouq Aminu,SF,11/8/15,35,9,5.9
19258,Al-Farouq Aminu,SF,2/8/16,40,4,5.3
20334,Al-Farouq Aminu,SF,12/12/15,32,11,5.9
21262,Al-Farouq Aminu,SF,2/21/16,28,2,4.9
22112,Al-Farouq Aminu,SF,1/4/16,34,15,12.5
22571,Al-Farouq Aminu,SF,12/26/15,22,12,13.1
22646,Al-Farouq Aminu,SF,12/21/15,26,7,2.6
23607,Al-Farouq Aminu,SF,11/13/15,34,16,12.9
23742,Al-Farouq Aminu,SF,1/13/16,27,10,10.9
24092,Al-Farouq Aminu,SF,12/20/15,32,16,14.9
24659,Al-Farouq Aminu,SF,11/5/15,33,11,8.8
25267,Al-Farouq Aminu,SF,11/4/15,36,13,9.8
25528,Al-Farouq Aminu,SF,12/31/15,26,5,2.4
,Al-Farouq Aminu Var,,,,27.09379705,
1429,Alan Anderson,SG,3/2/16,21,18,14.1
2011,Alan Anderson,SG,2/26/16,16,5,4.2
3977,Alan Anderson,SG,4/11/16,18,4,0.5
4082,Alan Anderson,SG,3/8/16,1,0,0
5858,Alan Anderson,SG,2/24/16,16,9,7.2
6436,Alan Anderson,SG,4/13/16,12,3,1.9
6630,Alan Anderson,SG,3/14/16,4,3,1.9
10241,Alan Anderson,SG,3/5/16,24,9,8.1
10843,Alan Anderson,SG,3/19/16,18,2,-0.6
12584,Alan Anderson,SG,4/10/16,13,4,2
12722,Alan Anderson,SG,2/28/16,15,5,4.4
15662,Alan Anderson,SG,4/8/16,19,0,-0.5
21653,Alan Anderson,SG,3/11/16,16,3,-1.7
,Alan Anderson Var,,,,22.83333333,
596,Alan Williams,,3/25/16,11,6,4.6
1360,Alan Williams,,3/28/16,3,0,-2.1
1669,Alan Williams,,4/11/16,9,2,3.3
4248,Alan Williams,,4/1/16,1,0,0
4726,Alan Williams,,4/7/16,3,0,-0.8
7599,Alan Williams,,4/9/16,8,3,5.1
11442,Alan Williams,,4/5/16,7,1,1.5
12021,Alan Williams,,4/13/16,22,14,15
19816,Alan Williams,,3/17/16,2,1,1.6
23324,Alan Williams,,4/3/16,1,2,2
,Alan Williams Var,,,,18.54444444,
10596,Alec Burks,SG,12/23/15,27,13,5.8
11922,Alec Burks,SG,12/8/15,30,18,10.6
14190,Alec Burks,SG,12/11/15,27,15,10.1
15374,Alec Burks,SG,12/13/15,37,21,10.8
17094,Alec Burks,SG,11/30/15,29,19,9.9
17847,Alec Burks,SG,11/23/15,25,8,0.6
18074,Alec Burks,SG,12/16/15,33,8,0.3
20265,Alec Burks,SG,12/21/15,20,13,5.5
21082,Alec Burks,SG,11/25/15,29,8,1.2
21876,Alec Burks,SG,12/5/15,33,9,1.6
21895,Alec Burks,SG,11/20/15,30,15,7.6
22243,Alec Burks,SG,11/28/15,32,21,16.3
23155,Alec Burks,SG,12/18/15,17,8,4.7
23235,Alec Burks,SG,10/31/15,21,10,2.4
23859,Alec Burks,SG,12/9/15,19,10,5.3
24514,Alec Burks,SG,12/26/15,18,11,7.9
24592,Alec Burks,SG,12/3/15,29,21,17.4
24617,Alec Burks,SG,11/15/15,28,18,14.3
24696,Alec Burks,SG,4/10/16,14,0,-0.3
25024,Alec Burks,SG,10/28/15,26,18,11.1
25105,Alec Burks,SG,11/18/15,27,13,7.5
25136,Alec Burks,SG,11/5/15,31,12,8.5
25265,Alec Burks,SG,11/4/15,32,21,14.4
25574,Alec Burks,SG,11/13/15,25,11,4
25781,Alec Burks,SG,11/10/15,30,24,16.7
25802,Alec Burks,SG,10/30/15,27,15,12.2
25853,Alec Burks,SG,12/14/15,18,8,4.9
25889,Alec Burks,SG,11/12/15,35,24,15.5
25917,Alec Burks,SG,4/8/16,13,11,8
25987,Alec Burks,SG,4/11/16,11,0,3.3
26039,Alec Burks,SG,11/7/15,25,9,5.5
