GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,38,11,23,9,15,2,8,12,12,0,15,15,3,1,1,0,2,36,31.8
1,40,16,34,15,28,1,6,3,10,4,16,20,4,2,1,5,5,36,21.9
1,35,12,20,6,10,6,10,6,8,2,2,4,1,1,8,0,2,36,34.5
1,38,12,19,7,10,5,9,7,11,2,3,5,2,1,0,2,1,36,28.2
1,36,13,26,12,22,1,4,9,11,1,7,8,4,0,2,3,0,36,26.2
1,39,11,19,9,16,2,3,12,13,2,9,11,9,2,0,5,4,36,32.5
1,47,13,20,5,10,8,10,1,1,0,2,2,5,0,0,1,3,35,28.1
1,41,12,35,11,29,1,6,10,10,4,10,14,11,2,0,5,3,35,24.6
1,41,14,25,11,19,3,6,4,4,1,12,13,5,2,1,2,2,35,30.8
1,40,10,23,6,15,4,8,11,11,0,6,6,6,2,2,3,3,35,28.1
1,29,11,15,11,15,0,0,13,15,0,2,2,0,0,0,2,2,35,25.9
1,46,11,21,8,15,3,6,10,13,0,2,2,3,3,0,0,2,35,28.4
1,32,10,16,4,6,6,10,9,10,1,6,7,5,4,0,4,5,35,31.4
1,38,13,20,11,17,2,3,7,10,4,4,8,0,2,1,2,4,35,28.1
1,37,13,25,6,14,7,11,2,2,0,4,4,4,2,0,0,3,35,27.5
1,37,13,26,7,16,6,10,3,4,2,0,2,4,1,1,2,4,35,23.9
1,32,10,21,10,18,0,3,15,15,3,2,5,3,5,0,2,1,35,31.7
1,37,10,19,7,10,3,9,12,13,2,1,3,7,1,0,3,3,35,28.7
1,34,13,22,11,20,2,2,7,9,7,11,18,4,0,1,2,4,35,32.1
1,36,9,22,4,9,5,13,12,13,0,11,11,15,1,0,10,2,35,26.8
1,32,10,25,5,13,5,12,10,11,0,2,2,5,2,0,1,4,35,24.6
1,39,11,24,9,21,2,3,11,15,2,14,16,0,0,5,4,2,35,25.3
1,35,10,21,6,13,4,8,11,13,3,2,5,4,0,1,3,3,35,25.5
1,36,10,23,6,13,4,10,11,13,1,2,3,7,1,1,3,1,35,26.6
0,36,12,18,5,8,7,10,4,5,2,3,5,3,1,0,2,1,35,29.8
1,44,16,28,13,19,3,9,0,0,0,3,3,6,1,1,1,0,35,27.6
1,36,13,27,10,18,3,9,6,7,1,2,3,2,0,1,1,2,35,22.5
1,38,14,20,11,14,3,6,4,4,4,6,10,4,1,0,3,0,35,32
1,37,9,21,9,18,0,3,17,18,3,12,15,2,3,3,1,2,35,33.9
1,38,13,31,9,20,4,11,5,5,2,7,9,5,0,2,5,4,35,20.3
1,41,13,19,12,18,1,1,8,11,3,6,9,8,2,7,4,2,35,37.3
1,40,12,25,7,15,5,10,6,6,2,8,10,3,2,0,3,2,35,26.4
1,33,14,30,14,23,0,7,7,9,1,5,6,5,3,0,10,4,35,15.9
1,31,14,25,7,10,7,15,0,0,1,4,5,4,0,0,3,1,35,24.4
1,46,14,25,9,16,5,9,2,4,0,7,7,9,1,1,10,3,35,21.2
1,33,12,20,7,13,5,7,6,8,2,8,10,1,0,0,3,3,35,25.3
1,38,13,15,13,15,0,0,9,12,13,2,15,1,1,4,3,2,35,38.9
1,31,12,18,5,6,7,12,4,7,2,3,5,4,2,0,0,1,35,32.7
1,38,14,22,12,18,2,4,5,5,4,8,12,4,0,2,3,2,35,30.8
1,37,10,22,10,14,0,8,15,16,0,4,4,6,2,1,6,1,35,24.9
1,39,11,20,9,16,2,4,11,12,0,7,7,5,0,2,1,3,35,29.8
1,42,11,20,3,6,8,14,5,6,0,4,4,9,3,0,3,2,35,31.7
0,35,10,19,4,7,6,12,9,11,0,5,5,2,1,0,2,2,35,26
1,40,14,21,11,16,3,5,4,6,4,10,14,1,1,2,4,4,35,28.4
1,36,12,25,7,12,5,13,6,8,1,6,7,5,1,0,5,1,35,23.1
1,40,13,22,10,15,3,7,6,7,4,3,7,3,1,1,1,2,35,30.1
1,42,12,26,10,19,2,7,8,9,3,5,8,7,2,0,1,2,34,28.9
1,37,13,19,9,11,4,8,4,4,1,7,8,6,2,0,6,4,34,27.3
1,47,12,25,7,16,5,9,5,6,3,9,12,7,1,1,2,2,34,29.5
1,36,14,26,13,24,1,2,5,7,2,12,14,2,1,2,2,5,34,25.4
1,35,13,26,13,24,0,2,8,11,1,7,8,2,0,2,1,0,34,24.4
1,32,10,12,7,9,3,3,11,12,0,2,2,7,0,0,4,4,34,29.1
1,48,13,26,11,21,2,5,6,7,3,5,8,2,2,0,1,0,34,26.6
1,37,12,22,5,11,7,11,3,3,1,3,4,4,0,3,3,1,34,26.5
1,39,12,17,10,14,2,3,8,9,1,6,7,5,1,0,1,4,34,30.9
1,36,13,22,12,19,1,3,7,9,4,9,13,5,2,3,1,2,34,34.3
